Name,Dim,Nnz,Cond,Error,Memory,Time,Language,OperatingSystem
G3_circuit,1585478,7660826,3.5769e-12,133.4231,8.2539,0,0
apache2,715176,4817870,4.3888e-11,23.167,5.5123,0,0
cfd1,70656,1825580,1.0421e-13,2.8467,0.8906,0,0
cfd2,123440,3085406,3.6873e-13,4.4196,2.0257,0,0
ex15,6867,98671,6.4506e-07,0.65536,0.012636,0,0
parabolic_fem,525825,3674625,1.0499e-12,13.3775,1.6267,0,0
shallow_water1,81920,327680,2.3778e-16,1.0527,0.1585,0,0
G3_circuit,1585478,7660826,3.5769e-12,289.98,8.7995,0,1
apache2,715176,4817870,4.3888e-11,0,5.9138,0,1
cfd1,70656,1825580,1.0421e-13,29.064,0.94752,0,1
cfd2,123440,3085406,3.6873e-13,19.14,2.2002,0,1
ex15,6867,98671,6.4506e-07,0,0.013287,0,1
parabolic_fem,525825,3674625,1.0499e-12,-48.212,1.766,0,1
shallow_water1,81920,327680,2.3778e-16,0,0.15534,0,1
